,Open,High,Low,Close,Volume
2024-07-29 15:30:00,19217.25,19222.5,19206.5,19222.5,2654
2024-07-29 17:00:00,19217.0,19237.5,19214.75,19228.5,1038
2024-07-29 17:30:00,19228.0,19228.5,19206.75,19216.25,814
2024-07-29 18:00:00,19216.0,19216.5,19161.0,19164.25,2896
2024-07-29 18:30:00,19164.0,19173.75,19123.0,19132.75,3589
2024-07-29 19:00:00,19132.25,19152.0,19126.25,19148.75,1994
2024-07-29 19:30:00,19149.25,19158.0,19136.25,19156.25,1475
2024-07-29 20:00:00,19156.75,19165.25,19129.0,19133.25,1777
2024-07-29 20:30:00,19133.0,19136.5,19094.5,19107.25,4743
2024-07-29 21:00:00,19108.0,19122.75,19096.5,19099.5,2981
2024-07-29 21:30:00,19099.5,19113.75,19076.0,19107.0,2395
2024-07-29 22:00:00,19108.25,19137.5,19103.5,19116.25,1848
2024-07-29 22:30:00,19117.75,19135.5,19109.75,19130.0,1869
2024-07-29 23:00:00,19131.0,19163.5,19130.5,19163.25,2293
2024-07-29 23:30:00,19162.25,19183.0,19162.25,19180.25,2240
2024-07-30 00:00:00,19181.25,19194.0,19176.25,19183.5,1770
2024-07-30 00:30:00,19183.5,19208.0,19168.75,19203.0,2425
2024-07-30 01:00:00,19202.5,19214.75,19185.0,19213.0,2059
2024-07-30 01:30:00,19213.75,19214.25,19185.0,19208.25,2252
2024-07-30 02:00:00,19208.5,19230.5,19208.5,19222.25,3185
2024-07-30 02:30:00,19221.5,19251.75,19218.0,19235.0,3288
2024-07-30 03:00:00,19235.5,19256.0,19205.75,19215.25,4257
2024-07-30 03:30:00,19215.5,19257.5,19215.0,19245.5,3150
2024-07-30 04:00:00,19246.5,19266.0,19234.0,19234.75,3103
2024-07-30 04:30:00,19236.25,19241.75,19206.75,19227.0,3245
2024-07-30 05:00:00,19227.0,19247.75,19219.25,19244.0,2458
2024-07-30 05:30:00,19245.0,19256.25,19242.0,19253.25,1934
2024-07-30 06:00:00,19253.0,19264.75,19245.0,19258.0,3683
2024-07-30 06:30:00,19257.5,19280.0,19254.75,19262.25,3274
2024-07-30 07:00:00,19262.0,19277.25,19251.25,19255.0,3705
2024-07-30 07:30:00,19255.5,19270.0,19252.0,19268.25,3678
2024-07-30 08:00:00,19268.0,19293.25,19263.25,19287.75,7184
2024-07-30 08:30:00,19288.0,19319.75,19206.5,19225.75,73024
2024-07-30 09:00:00,19225.5,19245.0,19159.0,19166.75,61233
2024-07-30 09:30:00,19166.25,19178.0,19097.25,19108.0,53070
2024-07-30 10:00:00,19106.75,19116.25,18976.0,19022.5,64982
2024-07-30 10:30:00,19021.5,19033.75,18926.0,18929.25,45043
2024-07-30 11:00:00,18929.75,18973.25,18907.75,18934.75,34924
2024-07-30 11:30:00,18935.0,18949.75,18810.75,18816.25,42237
2024-07-30 12:00:00,18816.5,18909.0,18803.0,18908.0,44543
2024-07-30 12:30:00,18908.0,18950.0,18887.75,18937.25,31278
2024-07-30 13:00:00,18936.75,18999.5,18922.5,18971.0,31396
2024-07-30 13:30:00,18971.5,18991.75,18933.5,18952.5,29742
2024-07-30 14:00:00,18953.0,18953.0,18908.25,18936.0,29659
2024-07-30 14:30:00,18935.5,19016.25,18903.75,18938.75,56905
2024-07-30 15:00:00,18939.5,18954.25,18725.0,18839.75,37564
2024-07-30 15:30:00,18840.5,18899.25,18825.75,18861.25,9382
2024-07-30 17:00:00,18865.75,18998.0,18861.75,18957.25,11291
2024-07-30 17:30:00,18957.75,18985.0,18957.75,18970.5,2828
2024-07-30 18:00:00,18970.75,19025.5,18967.0,19018.75,3583
2024-07-30 18:30:00,19019.0,19064.75,19017.5,19060.75,3474
2024-07-30 19:00:00,19060.25,19076.25,19015.5,19043.0,4139
2024-07-30 19:30:00,19042.75,19080.25,19039.25,19077.0,3080
2024-07-30 20:00:00,19078.0,19089.75,19060.5,19072.25,2701
2024-07-30 20:30:00,19072.5,19081.75,19057.0,19078.0,2723
2024-07-30 21:00:00,19077.5,19120.25,19075.0,19114.5,2878
2024-07-30 21:30:00,19115.5,19120.0,19104.0,19107.5,1817
2024-07-30 22:00:00,19106.75,19113.5,19095.0,19098.75,1446
2024-07-30 22:30:00,19098.25,19139.75,19095.0,19134.25,2254
2024-07-30 23:00:00,19135.25,19148.0,19095.0,19098.25,4706
2024-07-30 23:30:00,19099.25,19116.25,19095.0,19106.25,2808
2024-07-31 00:00:00,19106.75,19118.0,19096.0,19113.75,1716
2024-07-31 00:30:00,19114.0,19225.25,19114.0,19216.25,8301
2024-07-31 01:00:00,19217.25,19217.75,19167.0,19199.0,7894
2024-07-31 01:30:00,19199.5,19224.5,19198.0,19213.0,3536
2024-07-31 02:00:00,19212.75,19221.75,19180.25,19203.75,5973
2024-07-31 02:30:00,19204.75,19237.5,19196.0,19221.0,4997
2024-07-31 03:00:00,19220.75,19224.5,19178.5,19214.0,7984
2024-07-31 03:30:00,19213.5,19247.0,19210.25,19214.0,5103
2024-07-31 04:00:00,19215.5,19220.0,19198.0,19202.75,3620
2024-07-31 04:30:00,19202.0,19231.0,19193.5,19200.0,3347
2024-07-31 05:00:00,19200.5,19230.5,19197.5,19216.0,3391
2024-07-31 05:30:00,19216.0,19243.5,19210.25,19242.0,2885
